0,Synthesizable,Material ID,Formula,Crystal System,Space Group Symbol,Space Group Number,Sites,Energy Above Hull,Formation Energy,Predicted Stable,Volume,Density,Band Gap,Is Gap Direct,Is Metal,Magnetic Ordering,Total Magnetization,,,,,,,,,,,,,,
39,TRUE,mp-705547,Fe2O3,Monoclinic,Cm,8,40,0.1598529317,-1.544656791,FALSE,454.8702271,4.66363334,0.5861,TRUE,FALSE,FM,80.002256,,,,,,,,,,,,,,
40,TRUE,mp-715276,Fe2O3,Orthorhombic,Pna2_1,33,20,0.085901862,-1.61860786,FALSE,204.3587158,5.190255644,1.5103,FALSE,FALSE,FiM,0,,,,,,,,,,,,,,
41,TRUE,mp-715572,Fe2O3,Monoclinic,C2,5,40,0.07717755075,-1.627332172,FALSE,409.0275494,5.18632048,1.3465,TRUE,FALSE,FiM,0.1482395,,,,,,,,,,,,,,
42,TRUE,mp-716814,Fe2O3,Trigonal,P3,143,30,0.5030479953,-1.201461727,FALSE,372.2786017,4.273710495,0,FALSE,TRUE,FiM,52.0000046,,,,,,,,,,,,,,
44,TRUE,mp-1147691,Fe2O5,Triclinic,P-1,2,28,0.3757995979,-0.8417073468,FALSE,287.2863301,4.431867704,0,FALSE,TRUE,FiM,24.0017402,,,,,,,,,,,,,,
45,TRUE,mp-863766,Fe32O35,Triclinic,P1,1,67,0.05761522142,-1.472959366,FALSE,732.2937949,5.322067136,0.5079,FALSE,FALSE,FM,133.9965149,,,,,,,,,,,,,,
46,TRUE,mp-694910,Fe35O36,Triclinic,P1,1,71,0.7836108636,-0.7118643927,FALSE,751.1078958,5.594512858,0.2105,FALSE,FALSE,FiM,1.9737034,,,,,,,,,,,,,,
47,TRUE,mp-705753,Fe38O39,Triclinic,P-1,2,77,0.07112977292,-1.423090375,FALSE,817.942991,5.5749412,1.547,FALSE,FALSE,FM,146.0000004,,,,,,,,,,,,,,
48,TRUE,mp-1184320,Fe3O,Hexagonal,P6_3/mmc,194,8,1.510953299,0.7712692844,FALSE,103.6431903,5.881062526,0,FALSE,TRUE,FM,19.9227736,,,,,,,,,,,,,,
49,TRUE,mp-1104628,Fe3O4,Orthorhombic,Pmma,51,14,1.068325814,-0.5744155221,FALSE,237.0079982,3.244354034,0,FALSE,TRUE,FM,22.8877908,,,,,,,,,,,,,,
50,TRUE,mp-1181340,Fe3O4,Monoclinic,P2/m,10,7,0.1241500007,-1.518591336,FALSE,79.35401154,4.844984142,1.0689,FALSE,FALSE,FM,13.999997,,,,,,,,,,,,,,
52,TRUE,mp-1181570,Fe3O4,Monoclinic,Pc,7,28,0.1325433129,-1.510198024,FALSE,289.2583152,5.316617118,0.3251,FALSE,FALSE,FM,55.9994716,,,,,,,,,,,,,,
53,TRUE,mp-1181657,Fe3O4,Monoclinic,P2/m,10,28,0.04034829821,-1.602393038,FALSE,319.4336177,4.814382784,1.0663,FALSE,FALSE,FM,56.0003166,,,,,,,,,,,,,,
54,TRUE,mp-1181813,Fe3O4,Orthorhombic,Pmc2_1,26,56,0.04845093214,-1.594290404,FALSE,641.0713467,4.797830125,0.9056,FALSE,FALSE,FM,112.0000589,,,,,,,,,,,,,,
55,TRUE,mp-1182229,Fe3O4,Monoclinic,Pm,6,56,0.1312698904,-1.511471446,FALSE,630.0801905,4.881523759,0.0895,FALSE,FALSE,FiM,34.1205468,,,,,,,,,,,,,,
56,TRUE,mp-1182249,Fe3O4,Triclinic,P1,1,56,0.05239445232,-1.590346884,FALSE,636.9761922,4.828675636,0.7399,FALSE,FALSE,FM,112.0000023,,,,,,,,,,,,,,
58,TRUE,mp-1192788,Fe3O4,Orthorhombic,Pbcm,57,28,0.1087863057,-1.533955031,FALSE,290.0409972,5.302270109,0.777,FALSE,FALSE,FM,55.9996107,,,,,,,,,,,,,,
59,TRUE,mp-1271729,Fe3O4,Monoclinic,C2,5,28,0.06177253536,-1.580968801,FALSE,315.580863,4.87315896,0.1221,FALSE,FALSE,FM,55.9999609,,,,,,,,,,,,,,
